listing_id,update_time,listing_name,location_address,zip,location_x,location_y,location_desc,location_site,location_site_otherdesc,location_indoor,specialproductionmethods,acceptedpayment,FNAP,SNAP_option,SNAP_option_1,SNAP_option_2
300002,8/3/2020 13:44,Colorado Farm and Art Market,"""7350 Pine Creek Road, Colorado Springs, Colorado 80919""",80919,-104.81468,38.937716,"Behind the patio of the Margarita at Pine Creek, located off Woodmen road just West of I-25.",Private business parking lot;,A restaurant--The Margarita at Pine Creek,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,SNAP;Accept EBT at a central location;;,Accept EBT at a central location;,1,0
300003,8/3/2020 9:33,Market in The Park,"""300 Conti, Mobile, Alabama 36602""",36602,-88.045015,30.69035,"Cathedral Square, located in downtown Mobile, bordered by Conti, Jackson, Dauphin, and Claiborne Streets.",Local government building grounds;,,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,Senior Farmers Market Nutrition Program;,,0,0
300004,9/10/2020 16:27,The Territory Farmers' Market,"""2000 Territory Drive, Galena, Illinois 61036""",61036,-90.31353,42.404443,Parking lot at The Galena Territory Association Owners' Club facility.,Private business parking lot;,,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,,,0,0
300005,1/26/2021 12:51,City of Plymouth Farmers Market,"""15500 County Road 6, Plymouth, Minnesota 55447""",55447,-93.473419,44.997274,,Local government building grounds;,,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,,,0,0
300006,9/10/2020 19:12,Durham Farmers' Market,"""501 Foster Street, Durham, North Carolina 27701""",27701,-78.901856,36.000559,In and around the Pavilion at Durham Central Park.,,City Park (Durham Central Park).,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,WIC;Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;,Accept EBT at a central location;,1,0
300008,1/5/2021 10:18,"Webster's Joe Obbie Farmers' Market, Inc.","""1028 Ridge Road, Webster Towne Center, Webster, New York 14580""",14580,-77.452948,43.212229,"In the Plaza parking lot, near the Gazebo",,shopping plaza parking lot,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,WIC;Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;,Accept EBT at a central location;,1,0
300009,1/25/2021 12:18,Appleton Downtown Farm Market,"""100 College Avenue, Appleton, Wisconsin 54911""",54911,-88.40703,44.26201,"Downtown Appleton on College Avenue, between Appleton and Drew Streets; plus Houdini Plaza.",Closed-off public street;,,Part of the time the market is open indoor;,Organic (USDA Certified);,Debit card/Credit card;,WIC Farmers Market;WIC;SNAP;Accept EBT at a central location;;,Accept EBT at a central location;,1,0
300010,1/27/2021 19:55,Bastrop 1832 Farmers Market,"""1302 Chestnut Street, Bastrop, Texas 78602""",78602,-97.311627,30.111777,"Indoor Market in big metal barn, next to Bastrop Convention Center, across from Bastrop City Hall. At corner of Chestnut St. and Fayette St. by the railroad tracks.",Local government building grounds;,,Entire time the market is open indoor;,Organic (USDA Certified);,Debit card/Credit card;,SNAP;Some/all market vendors will accept EBT through individual POS;;,Some/all market vendors will accept EBT through individual POS;,0,1
300013,2/1/2021 11:04,Alexandria Bay Farmers Market,"""Route 12, Alexandria Bay, New York 13607""",13607,-75.916118,44.331171,Kinney Drugs parking lot,Private business parking lot;,,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,WIC;SNAP;Some/all market vendors will accept EBT through individual POS;;,Some/all market vendors will accept EBT through individual POS;,0,1
300016,2/2/2021 8:14,Clarence Hollow Farmers' Market,"""New Town lot, 10717 Main St. (route 5), Clarence, New York 14031""",14031,-78.58945,42.98032,"Market Lot   10717 Main StreetEast of Ransom Road   Clarence, NY",Private business parking lot;,Town owned Parking Lot,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,WIC Farmers Market;Senior Farmers Market Nutrition Program;,,0,0
300018,8/3/2020 9:39,Market in The Park - Lavretta Park,"""200 Parkway Street West, Mobile, Alabama 36606""",36606,-88.160082,30.691614,Lavretta Park is located in the Springhill area just off of Old Shell Road.,Local government building grounds;,,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,Senior Farmers Market Nutrition Program;,,0,0
300019,9/10/2020 15:25,26th Annual Highlands Business Partnership's Farmers Market,"""71 Waterwitch Avenue, Highlands, New Jersey 07732""",07732,-73.994358,40.404837,Huddy Park on the corner of Waterwitch and Bay Avenues,Local government building grounds;,Huddy Park (public park),No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,WIC Farmers Market;WIC;Senior Farmers Market Nutrition Program;SNAP;Some/all market vendors will accept EBT through individual POS;;,Some/all market vendors will accept EBT through individual POS;,0,1
300020,9/16/2020 11:09,Texas Farmers' Market at Lakeline,"""Lakeline Mall parking lot, behind Sears & Dillard's, Cedar Park, Texas 78613""",78613,-97.806683,30.469036,Located at the northwest corner of hwy.620 west and 183 north in the Lakeline Mall parking lot behind Sears and Dillard's.,Private business parking lot;,,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,WIC;SNAP;Accept EBT at a central location;Some/all market vendors will accept EBT through individual POS;;,Accept EBT at a central location;Some/all market vendors will accept EBT through individual POS;,1,1
300024,1/26/2021 8:30,Forest farmers market,"""15583 Forest Road, Forest, Virginia 24551""",24551,-79.285443,37.36437,Behind the Library.,Local government building grounds;,Forest Library parking lot.,Entire time the market is open indoor;,Organic (USDA Certified);,Debit card/Credit card;,SNAP;Accept EBT at a central location;;,Accept EBT at a central location;,1,0
300025,1/25/2021 19:35,Oneida Farmers Market,"""N7332 Water Circle Place, Oneida, Wisconsin 54155""",54155,-88.202341,44.503625,Located 6 miles west of Green Bay on Hwy 54,Closed-off public street;,,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,WIC;Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;,Accept EBT at a central location;,1,0
300026,1/27/2021 15:28,North Myrtle Beach Farmers Market,"""925 First Avenue South, North Myrtle Beach, South Carolina 29582""",29582,-78.683173,33.827655,Across from North Myrtle Beach Library Complex,Local government building grounds;,,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,WIC Farmers Market;WIC;SNAP;Some/all market vendors will accept EBT through individual POS;;,Some/all market vendors will accept EBT through individual POS;,0,1
300028,1/25/2021 16:53,ASU Regional Farmers' Market,"""3300 Aggie Road, Jonesboro, Arkansas 72401""",72401,-90.667327,35.840771,On ASU Campus at the corner of Aggie Road and Red Wolf Blvd,Educational institution;,ASU Regional Farmers Market building,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,WIC Farmers Market;WIC;SNAP;Accept EBT at a central location;Some/all market vendors will accept EBT through individual POS;;,Accept EBT at a central location;Some/all market vendors will accept EBT through individual POS;,1,1
300030,1/4/2021 20:26,OHSU Farmers Market,"""Mailcode L338, 3181 SW Sam Jackson Park Rd, Portland, Oregon 97239""",97239,-122.6877,45.499865,"Courtyard in front of the OHSU Auditorium & MacKenzie Hall, around the OHSU Fountain.",Healthcare institution;,,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,WIC Farmers Market;WIC;Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;,Accept EBT at a central location;,1,0
300031,1/25/2021 22:00,Shelby County Farmers Market,"""Hwys 44 and 59, Harlan, Iowa 51537""",51537,-95.338882,41.645926,"SE corner of Hwys 44 and 59, in old Shopko parking lot",,Parking lot,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,WIC Farmers Market;WIC;Senior Farmers Market Nutrition Program;SNAP;Some/all market vendors will accept EBT through individual POS;;,Some/all market vendors will accept EBT through individual POS;,0,1
300033,1/26/2021 10:47,Collinsville Farmers Market,"""Main St. and Route 179, Collinsville, Connecticut 06019""",06019,-72.923264,41.810819,Town Hall Parking Lot,Local government building grounds;,,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,WIC Farmers Market;WIC;SNAP;Some/all market vendors will accept EBT through individual POS;;,Some/all market vendors will accept EBT through individual POS;,0,1
300035,9/10/2020 16:22,Butte Farmers Market,"""Uptown Butte, Butte, Montana 59701""",59701,-112.5364,46.01269,West Park Street between Park and Main and Dakota Street.,Closed-off public street;,,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,WIC;Senior Farmers Market Nutrition Program;SNAP;Some/all market vendors will accept EBT through individual POS;;,Some/all market vendors will accept EBT through individual POS;,0,1
300036,1/28/2021 15:54,Boulder Farmers and Artisan's Market,"""304 N. Main Street, Boulder, Montana 59632""",59632,-112.11759,46.239153,Veteran's Park on HWY 69/Main Street next to City Hall,,Veteran's Park next to Boulder City Office,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,,,0,0
300037,1/27/2021 16:23,Benica Certified Farmers Market,"""First Street between B & D Streets, Benicia, California 94510""",94510,-122.16118,38.046215,First Street Between B And D Streets,Closed-off public street;,,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,WIC;SNAP;Accept EBT at a central location;;,Accept EBT at a central location;,1,0
300039,1/25/2021 11:50,Barnegat Farmers Market,"""14 Birdsall St., Barnegat, New Jersey 08005""",08005,-74.221654,39.753903,The market is location across the street from Barnegat Station 11 Firehouse,Local government building grounds;,,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,SNAP;Some/all market vendors will accept EBT through individual POS;;,Some/all market vendors will accept EBT through individual POS;,0,1
300040,1/25/2021 16:10,Ithaca Farmers Market,"""Center & Pine River Street, Ithaca, Michigan 48847""",48847,-84.598559,43.292319,Located under the pavilion,Local government building grounds;,,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,,,0,0
300041,1/29/2021 12:33,Westside Community Market,"""750 University Row, Madison, Wisconsin 53705""",53705,-89.470061,43.076159,"In the parking lots behind UW Health Digestive Health Center, accessible from University Avenue and Whitney Way.",Healthcare institution;,,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,WIC Farmers Market;WIC;Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;,Accept EBT at a central location;,1,0
300043,1/28/2021 8:53,Red Oak Farmers Market,"""307 East Reed Street, Red Oak, Iowa 51566""",51566,-95.228044,41.009641,NE corner of the city square (Fountain Square Park),Local government building grounds;,,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,WIC Farmers Market;WIC;Senior Farmers Market Nutrition Program;,,0,0
300044,1/26/2021 13:00,Halifax Market Place & Farmers Market,"""209 South Main Street, Halifax, Virginia 24558""",24558,-78.92836,36.76317,Halifax Farmers Market is located in Historic Downtown Halifax at the formers Farmers Food Grocery Store.,,Parking lot of former Farmers Food Grocery,Entire time the market is open indoor;,Organic (USDA Certified);,Debit card/Credit card;,Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;,Accept EBT at a central location;,1,0
300046,1/5/2021 16:03,Crystal Lake Farmers Market,"""Depot Park, Woodstock & Williams Streets, Crystal Lake, Illinois 60014""",60014,-88.31701,42.243752,Next to downtown train depot,Local government building grounds;,,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,WIC Farmers Market;WIC;,,0,0
300047,1/5/2021 17:58,Uptown Greenville Umbrella Market,"""Fifth Street and Evans Street, Greenville, North Carolina 27858""",27858,-77.373338,35.611005,Five Points Plaza,Local government building grounds;,,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,,,0,0
300048,1/25/2021 16:00,Voorheesville Farmers Market,"""68 Maple Ave., Voorheesville, New York 12186""",12186,-73.930027,42.649656,upper church parking lot (parking at rear of church off Severson Hill Rd.),Faith-based institution;,,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,SNAP;,,0,0
300049,9/15/2020 16:42,Waukon Farmers Market,"""850 Rossville Road, Waukon, Iowa 52172""",52172,-91.472878,43.260191,North parking lot,Private business parking lot;,,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,WIC;Senior Farmers Market Nutrition Program;,,0,0
300050,1/27/2021 11:13,Utica Farmers Market,"""Chancellor Park, Elizabeth St., Utica, New York 13501""",13501,-75.225983,43.096382,Chancellor Park is located on Elizabeth Street between Acadamy Street and Kent Street,Local government building grounds;,,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,WIC Farmers Market;WIC;Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;,Accept EBT at a central location;,1,0
300053,12/28/2020 18:10,Salamanca Farmers market,"""768 Broad st, Salamanca, New York 14779""",14779,-78.741263,42.164734,In front of the Bingo hall parking lot,,Casino lawn,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;,Accept EBT at a central location;,1,0
300055,1/27/2021 21:03,Belmont Farmers Market,"""5429 State Route 19N, Belmont, New York 14813""",14813,-78.053508,42.234077,field behind Dawny Jeans Cafe,,field behind a cafe,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,WIC Farmers Market;WIC;Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;,Accept EBT at a central location;,1,0
300057,2/12/2021 19:00,Claremont Farmers & Artisans Market,"""Harvard Avenue Between Bonita and First Streets, Claremont, California 91711""",91711,-117.71641,34.095598,"Located in front of Claremont California City Hall, On Harvard Avenue, between Bonita and First Streets. Claremont, CA 91711",Closed-off public street;,,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,WIC Farmers Market;WIC;SNAP;Accept EBT at a central location;;,Accept EBT at a central location;,1,0
300063,8/3/2020 13:01,Yellow Green Farmers Market,"""1940 North 30th Road, Hollywood, Florida 33021""",33021,-80.169243,26.03026,"Located right next to I95, Easy entry to our parking at 3080 Sheridan, Hollywood, FL",,Privately owned large barn structure.,Entire time the market is open indoor;,Organic (USDA Certified);,Debit card/Credit card;,SNAP;Some/all market vendors will accept EBT through individual POS;;,Some/all market vendors will accept EBT through individual POS;,0,1
300075,2/1/2021 15:01,Northport Farmers Market,"""105 S. Bay Street, Northport, Michigan 49670""",49670,-85.614175,45.129668,Across from the marina in the village of Northport,Local government building grounds;,Downtown marina parking lot,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,WIC;Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;,Accept EBT at a central location;,1,0
300076,2/1/2021 15:00,Suttons Bay Farmers Market,"""Intersection of M22 & M204, Suttons Bay, Michigan 49682""",49682,-85.647075,44.980186,Located at the North end of Suttons Bay Village at the intersection of M22 and M204,Local government building grounds;,,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,WIC;Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;,Accept EBT at a central location;,1,0
300077,2/1/2021 14:59,Glen Arbor Farmers Market,"""6394 Western Ave., Glen Arbor, Michigan 49636""",49636,-85.986905,44.897978,"Downtown, located behind the Village Hall building.",Local government building grounds;,,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,WIC;Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;,Accept EBT at a central location;,1,0
300078,2/1/2021 14:57,Leland Farmers Market,"""River Street, Leland, Michigan 49654""",49654,-85.759459,45.022857,Located on River Street across from The Bluebird Restaurant & Tavern,Private business parking lot;,,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,WIC;Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;,Accept EBT at a central location;,1,0
300079,2/1/2021 15:02,Empire Farmers Market,"""10234 Front Street, Empire, Michigan 49630""",49630,-86.063056,44.811224,Downtown next to the Post Office,Federal/state government building grounds;,,No Indoor;,Organic (USDA Certified);,Debit card/Credit card;,WIC;Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;,Accept EBT at a central location;,1,0
